Global_97353.f_28192; RE_FLAGS
Global_97353.f_28101; PROPERTIES_SAVED_DATA
Global_97353.f_28183; Launcher_Bit_Flags
Global_97353.f_28355; OWVEC_IND
Global_97353.f_28281; RP_PLAYER_x
Global_97353.f_28176; eStreetRaceToUnlock
Global_97353.f_23342; SPEC_PedsKilled
Global_97353.f_18289; ShopRob_NumTimesRobbed_Array
Global_97353.f_17297; SPTT_DATA_SAVED_STRUCT
Global_97353.f_18265; TRI_RANKS
Global_97353.f_18275; TENNIS_SAVE_DATA
Global_97353.f_17233; GOLF_COURSE_
Global_97353.f_17270; OFFROAD_iBitflags
Global_97353.f_18215; SHRINK_iByte0
Global_97353.f_17351; TAXI_iGenData
Global_97353.f_18237; TRAFFICKING_iBools
Global_97353.f_17224; DARTS_iNumBullseyes
Global_97353.f_17221; BJ_iLaunchRank
Global_97353.f_18217; ASSASSIN_iCurRank
Global_97353.f_18227; TOWING_iRank
Global_97353.f_23789; FINANCE_SAVED_ARRAY
Global_97353.f_12305; CELLPHONE_SETTINGS_SAVED_ARRAY
Global_97353.f_12395; TEXT_MESSAGES_SAVED_ARRAY
Global_97353.f_16036; GALLERY_IMAGES_SAVED_ARRAY
Global_97353.f_8448; COMP_PERCENT_SAVED_ARRAY
Global_97353.f_23635; FLOW_HELP_STRUCT_ARRAY
Global_97353.f_18371; VEHICLE_GEN_SAVED_DATA_STRUCT
Global_97353.f_5518; BUILDING_SAVED_DATA_STRUCT
Global_97353.f_6869; CODE_CONTROL_RUNFLAG_ARRAY
Global_97353.f_5944; COMM_CONTROL_QUEUED_CALLS_ARRAY
Global_97353.f_16787; PLAYER_SCENE_SAVED_DATA
Global_97353.f_16768; FAMILY_SAVED_DATA
Global_97353.f_16357; FRIENDS_SAVED_ARRAY
Global_97353.f_29774; CHARSHEET_SAVED_ARRAY
Global_97353.f_5486; RESPAWN_LOCATION_DATA
Global_97353.f_8303; STUNT_JUMPS_SAVED_STRUCT
Global_97353.f_23343; SOCIAL_SAVED_DATA_STRUCT
Global_97353.f_668; SHOP_SAVED_DATA_STRUCT
Global_97353.f_1718; RAMPAGE_SAVED_ARRAY
Global_97353.f_1354; PILOT_SCHOOL_SAVED_ARRAY
Global_97353.f_243; STRIP_CLUB_SAVED_ARRAY
Global_97353.f_1; HEIST_CHOICE_HELP_DISPLAYED_ARRAY
Global_97353.f_8270; MF_STRANDS_TO_OVERRIDE_ARRAY
Global_97353.f_7341; isGameflowActive
Global_97353.f_24262; EMAIL_DATA
Global_97353.f_17401; SHOOTING_RANGE_SAVED_ARRAY
Global_97353.f_16828; SAVED_RANDOM_CHARACTERS
Global_97353.f_1729; COMPONENTS_ARRAY
